Professor,Average Rating,Number of Courses
"Putnam, Craig",4.446480941772461,22
"Hammoud, Riad",3.9375,4
"Fischer, Gregory",4.5125,7
"Sisson, Richard",4.830467295646668,27
"Cotnoir, Paul",4.35,4
"Loiacono, Eleanor",4.4703125,7
"Tulu, Bengisu",4.39453125,9
"Wilson, E.",3.53857421875,11
"Wermann, Kenneth",4.3,1
"Traietti, Mark",3.2,1
"Drew, James",3.7,1
"Joseph, Paul",4.0,1
"Szalai, Christopher",4.709375,6
"Heppe, Adam",4.2060546875,10
"Kafle, Rudra",4.373828125,9
"Zhong, Yu",4.3992199271917345,28
"Policelli, Joseph",4.4,2
"Olsen, Douglas",4.709375,65
"Vaudreuil, Alan",4.762499999999999,4
"Pietrucha, Matthew",4.025,3
"Manzo, Daniel",4.550000000000001,2
"Currier, Blake",3.373828125,9
"Elmes, Michael",4.240625,6
"French, Brent",4.8,5
"Lingo, Elizabeth",4.70625,5
"Johnson, Sharon",4.73125,6
"Saberi, Sara",4.325,5
"Joshi, Aditi",3.4000000000000004,2
"Konrad, Renata",4.5109375,7
"Burnham, Nancy",3.959375,6
"Wu, Kun-Ta",3.921875,6
"Titova, Lyubov",4.768750000000001,8
"Ram-Mohan, L. Ramdas",3.35625,6
"Aravind, Padmanabhan",4.67001953125,11
"Tuzel, Erkan",3.9,3
"Chan, Jenny Yun-Chen",3.9,1
"Kelley, Abigail",4.5,3
"Arroyo, Ivon",4.2,4
"Ottmar, Erin",4.5546875,7
"Ostrow, Korinn",3.9,1
"Stafford, Kenneth",4.4,2
"Buzan, Forrest",3.3,1
"Fichera, Loris",4.706259143352508,24
"Calli, Berk",4.4812164306640625,16
"Zhang, Haichong",3.9499999999999997,3
"Li, Zhi",4.349755859375,12
"Looft, Fred",5.0,1
"Rasmussen, Winola",3.35,7
"Nafziger, John",5.0,2
"Halpine, Margarita",4.39400634765625,14
"Madan, Aarti",4.546875,8
"Saeed, Khalid",3.6968750000000004,6
"Bhada, Shamsnaz",4.231249999999999,5
"Dempsey, James",3.6,1
"Yu, Tiffany",3.8249999999999997,3
"Fallahi, Ali",3.7,2
"Grant, Denise",4.6,1
"Nechipurenko, Inna",4.25,3
"Hamel, Jean-Francois",3.875,3
"Fridkis-Hareli, Masha",4.4,2
"Bosinger, Mia",3.55,2
"Obayemi, John",3.34375,5
"Faheem, Faheem",3.5,2
"Salifu, Ali",3.85,3
"Ferguson, Douglas",4.3,1
"Moore, Whitney",4.8,1
"Ahern, Michael",4.15,2
"Mahoney, Sean",3.6,1
"Walker, Harold",3.75,5
"Calandra, Sam",4.7,1
"Aboulezz, Mohamed",4.25,2
"Alvarez-Romero, Sergio",4.175,3
"O'Rourke, Brian",4.1,1
"Burdi, Luciana",5.0,4
"Musacchio, Patricia",3.55,2
"Monaco, James",5.0,1
